"","ensembl_gene_id","external_gene_name","original_ensembl_gene_id","gene_length","gene_biotype","entrezgene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPS15","ENSG00000115268","RPS15","ENSG00000115268.8",2137,"protein_coding","6209",0.692351578016639,8.97000322477659,5.29653744648802,7.91485304070495e-07,9.42205046916992e-06,4.99708553897105
"BIRC6","ENSG00000115760","BIRC6","ENSG00000115760.12",17723,"protein_coding","57448",-0.622982063320368,6.55624957933667,-5.29576819091876,7.94046168202031e-07,9.44431607710207e-06,4.99973503434048
"PPP1R16B","ENSG00000101445","PPP1R16B","ENSG00000101445.8",6400,"protein_coding","26051",1.08879311944142,2.94657342571134,5.29484524900976,7.97129358563938e-07,9.47275010116207e-06,5.30929823842811
"MAP3K8","ENSG00000107968","MAP3K8","ENSG00000107968.8",3601,"protein_coding","1326",0.738066852356158,3.61530897594368,5.29401768432213,7.99903890809035e-07,9.49746998132463e-06,5.21449103118052
"NBEAL1","ENSG00000144426","NBEAL1","ENSG00000144426.17",16376,"protein_coding","65065",-0.895408546796232,2.8653000530967,-5.29238089840001,8.05419314768041e-07,9.54818079409126e-06,5.32010655232445
"GSTZ1","ENSG00000100577","GSTZ1","ENSG00000100577.17",8477,"protein_coding","2954",0.843930159482472,4.06499709468515,5.29233602786637,8.0557103643671e-07,9.54818079409126e-06,5.14823573187051
"HCAR3","ENSG00000255398","HCAR3","ENSG00000255398.2",2137,"protein_coding","8843",2.28592062735261,-1.42211920615804,5.29065313650081,8.11281672062354e-07,9.60754174066569e-06,5.58711053765813
"ETS2","ENSG00000157557","ETS2","ENSG00000157557.10",4595,"protein_coding","2114",-0.833300814540843,8.80241312061106,-5.28898129401375,8.16994034102941e-07,9.66682041389276e-06,4.96634553590093
"DDI2","ENSG00000197312","DDI2","ENSG00000197312.10",12136,"protein_coding","84301",-0.477260333838776,5.54863039016977,-5.28734243243404,8.22631901407843e-07,9.72511594421476e-06,5.00193843476178
"SULT1B1","ENSG00000173597","SULT1B1","ENSG00000173597.7",7356,"protein_coding","27284",-1.91604034684827,4.28956315909821,-5.28512172441045,8.30332167966228e-07,9.80767132421595e-06,5.14440729259914
"RNF122","ENSG00000133874","RNF122","ENSG00000133874.1",1868,"protein_coding","79845",0.788573778319593,2.70907282022129,5.28452922588977,8.32398537238166e-07,9.82359550676759e-06,5.29700707482527
"IRF4","ENSG00000137265","IRF4","ENSG00000137265.13",5898,"protein_coding","3662",1.43481795139772,1.74037369810122,5.28334812790335,8.36532701490476e-07,9.85859843143105e-06,5.39543089280015
"PLXNA2","ENSG00000076356","PLXNA2","ENSG00000076356.6",13781,"protein_coding","5362",-0.789597456677288,5.63414010133743,-5.28327024360014,8.36806022729306e-07,9.85859843143105e-06,4.98391825983232
"ACOXL","ENSG00000153093","ACOXL","ENSG00000153093.17",5747,"protein_coding","55289",1.90032949769322,-1.46739652674391,5.28192022294057,8.41557590373381e-07,9.90604537102161e-06,5.55326829600487
"TSPAN32","ENSG00000064201","TSPAN32","ENSG00000064201.14",3793,"protein_coding","10077",1.27534724966943,-1.0444259216744,5.27939011352062,8.50533833199513e-07,1.00030969651788e-05,5.53357023676597
"CPEB2","ENSG00000137449","CPEB2","ENSG00000137449.14",7177,"protein_coding","132864",-0.66680610377737,3.6932675796062,-5.27761356231185,8.56892539223337e-07,1.00692234978495e-05,5.15275305224318
"CCL18","ENSG00000275385","CCL18","ENSG00000275385.1",1397,"protein_coding","6362",2.44629294408828,4.04446537284886,5.27645461865688,8.61065722652495e-07,1.01095767849277e-05,5.10836334695282
"CLEC4E","ENSG00000166523","CLEC4E","ENSG00000166523.6",2422,"protein_coding","26253",1.75519835420997,0.406991548810419,5.27593226874178,8.62953121698728e-07,1.01230469970799e-05,5.46119870503167
"BRD7","ENSG00000166164","BRD7","ENSG00000166164.14",8492,"protein_coding","29117",-0.560315808586507,5.97711939703052,-5.27503844683911,8.66192148201846e-07,1.01522025315289e-05,4.93240359749689
"LY86","ENSG00000112799","LY86","ENSG00000112799.7",1254,"protein_coding","9450",0.925506875381092,1.1546562639486,5.27483722244997,8.66922982660166e-07,1.01522025315289e-05,5.40888250034734
"SVIL","ENSG00000197321","SVIL","ENSG00000197321.13",9937,"protein_coding","6840",-0.7352880721472,6.06056551995177,-5.27365689549845,8.71222020682691e-07,1.01938193318202e-05,4.92550095166262
"RNASE6","ENSG00000169413","RNASE6","ENSG00000169413.2",1061,"protein_coding","6039",0.738850363403795,2.99248643096007,5.27190491546675,8.77641640555003e-07,1.02601558628302e-05,5.20962209678148
"ALOX15B","ENSG00000179593","ALOX15B","ENSG00000179593.14",3028,"protein_coding","247",2.19981667092511,0.385398961241814,5.27120457747678,8.80220752169537e-07,1.02815195970751e-05,5.44426521051798
"SSNA1","ENSG00000176101","SSNA1","ENSG00000176101.10",1183,"protein_coding","8636",0.546284078627421,6.00016389670537,5.26542524192593,9.01789106455829e-07,1.05244636502584e-05,4.87723755031841
"C1orf216","ENSG00000142686","C1orf216","ENSG00000142686.7",3629,"protein_coding","127703",0.614304631334761,3.70649447169246,5.26259089105557,9.12554958179765e-07,1.06410287450834e-05,5.07403092012647
"COMMD9","ENSG00000110442","COMMD9","ENSG00000110442.10",6592,"protein_coding","29099",0.439879519525579,4.98133975990223,5.2594378967395,9.24678882245482e-07,1.07732178461275e-05,4.91300170814092
"SLC37A2","ENSG00000134955","SLC37A2","ENSG00000134955.10",6371,"protein_coding","219855",1.36100547745457,3.2036303700307,5.2553975247291,9.40445491669294e-07,1.09475859021724e-05,5.11728940297601
"LRRCC1","ENSG00000133739","LRRCC1","ENSG00000133739.14",5065,"protein_coding","85444",-0.969377088321786,4.26874584654901,-5.25461606645138,9.43525156755802e-07,1.09740961684574e-05,4.99958225458496
"ATP10B","ENSG00000118322","ATP10B","ENSG00000118322.11",11310,"protein_coding","23120",-1.28945404438233,7.06169423936683,-5.25343187861704,9.4821075639924e-07,1.10192240662946e-05,4.82536320714875
"ADA2","ENSG00000093072","ADA2","ENSG00000093072.14",5800,"protein_coding","51816",1.22575875880332,4.67387448076192,5.24706317605745,9.73803502633769e-07,1.13070325203945e-05,4.89237949992878
"TG","ENSG00000042832","TG","ENSG00000042832.10",11132,"protein_coding","7038",-2.30923351826207,1.81784843451615,-5.2463480774975,9.76718986839168e-07,1.13312657353572e-05,5.25288607831949
"KNOP1","ENSG00000103550","KNOP1","ENSG00000103550.12",7761,"protein_coding","400506",-0.514680753720639,4.54927058183597,-5.24593020298192,9.78426627495357e-07,1.13414571278657e-05,4.91573214965106
"BORCS6","ENSG00000196544","BORCS6","ENSG00000196544.7",2575,"protein_coding","54785",0.615527145903169,3.15503848366157,5.24572678603592,9.79258945479829e-07,1.13414935277503e-05,5.08192025856506
"RAP2A","ENSG00000125249","RAP2A","ENSG00000125249.6",5570,"protein_coding","5911",-0.630493318354722,5.68049251057854,-5.24377337588145,9.87287020396888e-07,1.14247985321393e-05,4.81814716198584
"CLEC4A","ENSG00000111729","CLEC4A","ENSG00000111729.11",1281,"protein_coding","50856",0.960091782130814,1.20984096883196,5.24307560173948,9.90170289318008e-07,1.14484777830023e-05,5.27741113734541
"ZNF107","ENSG00000196247","ZNF107","ENSG00000196247.10",7162,"protein_coding","51427",-1.0539277740952,3.11564351506556,-5.24274771411808,9.91527994626002e-07,1.14544931676473e-05,5.09273307856146
"S100A9","ENSG00000163220","S100A9","ENSG00000163220.10",577,"protein_coding","6280",1.48230190935095,4.77667265451494,5.24170208099146,9.95869887586962e-07,1.14949437319953e-05,4.86444832578916
"UBA7","ENSG00000182179","UBA7","ENSG00000182179.9",4545,"protein_coding","7318",0.863199730674487,5.67601659335222,5.24120606651999,9.97936038215203e-07,1.15090802113892e-05,4.79096815792373
"ENOX2","ENSG00000165675","ENOX2","ENSG00000165675.15",4279,"protein_coding","10495",-0.683795385945843,4.28556413646935,-5.23982537666814,1.00370941030398e-06,1.15659118063503e-05,4.9233374347863
"CEP290","ENSG00000198707","CEP290","ENSG00000198707.13",10388,"protein_coding","80184",-1.02137075331939,3.08049297611664,-5.23935590755659,1.00567993337221e-06,1.15788637446676e-05,5.08396118529113
"ZNF846","ENSG00000196605","ZNF846","ENSG00000196605.6",3912,"protein_coding",NA,-0.718889044957143,1.62461999850259,-5.23855912961451,1.0090329470911e-06,1.16076977714988e-05,5.22984503543535
"PHPT1","ENSG00000054148","PHPT1","ENSG00000054148.16",1612,"protein_coding","29085",0.703840934028798,6.11991118043994,5.23810657044915,1.01094227973172e-06,1.16198894976223e-05,4.76162137211031
"SH3GLB2","ENSG00000148341","SH3GLB2","ENSG00000148341.16",6814,"protein_coding","56904",0.63992375591134,6.75834820156688,5.23700847952306,1.01558979008932e-06,1.16635072618318e-05,4.7460212889143
"ZC4H2","ENSG00000126970","ZC4H2","ENSG00000126970.14",5173,"protein_coding","55906",-1.07215923264273,2.57686123881811,-5.23625502018327,1.01879077780873e-06,1.16904532373052e-05,5.12760521753199
"MZB1","ENSG00000170476","MZB1","ENSG00000170476.14",2273,"protein_coding","51237",1.70702260618103,3.13454973740507,5.23479011568796,1.02504252529334e-06,1.17523316521058e-05,5.0481082224494
"MXD4","ENSG00000123933","MXD4","ENSG00000123933.13",7058,"protein_coding","10608",0.620199024322247,6.11251248298492,5.23362306533995,1.03004996193077e-06,1.17998520764565e-05,4.74416463684672
"GOLGA4","ENSG00000144674","GOLGA4","ENSG00000144674.15",10737,"protein_coding","2803",-0.898966277610219,6.33720237383013,-5.23221450140749,1.03612552215443e-06,1.1859518738099e-05,4.75284497666546
"YIPF4","ENSG00000119820","YIPF4","ENSG00000119820.9",12233,"protein_coding","84272",-0.576467109905126,6.03722056904486,-5.23085314521358,1.04203075676716e-06,1.19171377015562e-05,4.75005412603184
"PABPC1","ENSG00000070756","PABPC1","ENSG00000070756.12",4752,"protein_coding","26986",-0.605692257476301,10.8624252857435,-5.2304487001358,1.04379147442352e-06,1.19249558591278e-05,4.74437875363006
"WDR54","ENSG00000005448","WDR54","ENSG00000005448.15",2860,"protein_coding","84058",0.904678517482328,3.62729343652029,5.23029576016914,1.0444580435177e-06,1.19249558591278e-05,4.9555968266062
"PRR5L","ENSG00000135362","PRR5L","ENSG00000135362.12",6616,"protein_coding","79899",-0.873634165649293,5.19235025802418,-5.22979227411296,1.04665536461761e-06,1.19400767950289e-05,4.7950134347342
"RBFA","ENSG00000101546","RBFA","ENSG00000101546.11",3722,"protein_coding","79863",0.586257546794672,4.14789117565489,5.22883991373962,1.05082403846638e-06,1.19776426651193e-05,4.87810214268247
"SATB1","ENSG00000182568","SATB1","ENSG00000182568.15",13409,"protein_coding","6304",-1.12475509226548,4.38161332654351,-5.22656365069401,1.06085359002596e-06,1.20818945914863e-05,4.8719225251012
"CLNK","ENSG00000109684","CLNK","ENSG00000109684.13",6206,"protein_coding","116449",1.30408627405594,-1.76920644616419,5.22451811945564,1.06994631631731e-06,1.21753125745326e-05,5.33206115584245
"PTPN11","ENSG00000179295","PTPN11","ENSG00000179295.14",6996,"protein_coding","5781",-0.613869353385946,7.02962867822424,-5.22145176423157,1.08371968440736e-06,1.23217937184737e-05,4.6895897660156
"LILRA5","ENSG00000187116","LILRA5","ENSG00000187116.12",1760,"protein_coding","353514",1.10683259587678,1.15632680748955,5.22117753149933,1.08495988723154e-06,1.2325648951456e-05,5.19382888716833
"ATP5F1A","ENSG00000152234","ATP5F1A","ENSG00000152234.14",10908,"protein_coding","498",0.553677536594574,8.97854314759162,5.22073253989981,1.08697529144228e-06,1.23382971255995e-05,4.68859930667074
"CBR3","ENSG00000159231","CBR3","ENSG00000159231.5",1169,"protein_coding","874",1.15664793498977,2.04542264800803,5.22032309992662,1.08883291267159e-06,1.23491348088905e-05,5.11262925429639
"LACC1","ENSG00000179630","LACC1","ENSG00000179630.9",4550,"protein_coding","144811",-0.844875161021965,3.47230816205726,-5.22006340621036,1.09001274643683e-06,1.23522736916015e-05,4.95244461110594
"ACTR2","ENSG00000138071","ACTR2","ENSG00000138071.12",4347,"protein_coding","10097",-0.743075639100079,8.22480715081437,-5.21850901130822,1.09710081009645e-06,1.24223053646517e-05,4.67631519645352
"TPGS2","ENSG00000134779","TPGS2","ENSG00000134779.13",10571,"protein_coding","25941",0.515461284349288,5.732436902673,5.21745149839533,1.10194882378461e-06,1.24668784216095e-05,4.6934632454591
"NUBP1","ENSG00000103274","NUBP1","ENSG00000103274.9",1955,"protein_coding","4682",0.482283822629643,4.21027301747077,5.2168447790982,1.10473968929038e-06,1.24881235290197e-05,4.82174037559471
"WDR34","ENSG00000119333","WDR34","ENSG00000119333.10",2604,"protein_coding","89891",0.713534351098072,6.8702629373652,5.21624503580809,1.1075052574294e-06,1.25090478209078e-05,4.66061536605785
"DOCK2","ENSG00000134516","DOCK2","ENSG00000134516.14",12890,"protein_coding","1794",1.21350064494522,3.60023683765502,5.21276431457545,1.12368989073934e-06,1.26813781563801e-05,4.88940848092697
"TREM2","ENSG00000095970","TREM2","ENSG00000095970.15",1095,"protein_coding","54209",1.54763653503432,2.56611935424331,5.20843843046647,1.14412689003314e-06,1.29013747748338e-05,5.00869122533548
"NKRF","ENSG00000186416","NKRF","ENSG00000186416.11",4004,"protein_coding","55922",-0.650245610438536,4.06564380660969,-5.2073397365369,1.14937510298723e-06,1.29498786315151e-05,4.81837383359152
"ZNF678","ENSG00000181450","ZNF678","ENSG00000181450.16",8915,"protein_coding","339500",-0.892504707196286,2.57886173299607,-5.20555983628773,1.1579272722298e-06,1.30354973082792e-05,5.00415201676316
"BTLA","ENSG00000186265","BTLA","ENSG00000186265.8",3697,"protein_coding","151888",1.31037718992872,-1.15762032758407,5.2041459328032,1.16476518627704e-06,1.31016926134025e-05,5.23968751861065
"REX1BD","ENSG00000006015","REX1BD","ENSG00000006015.16",3370,"protein_coding","55049",0.840105545836839,5.30517177147313,5.2038664222065,1.16612161980821e-06,1.31061721575486e-05,4.66134856536342
"YWHAZ","ENSG00000164924","YWHAZ","ENSG00000164924.16",8555,"protein_coding","7534",-0.839648725807136,9.92556413903803,-5.20293525877897,1.1706516020429e-06,1.31462829332863e-05,4.62489658959659
"PPP4R3B","ENSG00000275052","PPP4R3B","ENSG00000275052.3",8217,"protein_coding","57223",-0.576296044808629,6.60865028330355,-5.20205770624617,1.17493651778845e-06,1.31830428224682e-05,4.61688202064049
"ANK1","ENSG00000029534","ANK1","ENSG00000029534.18",10799,"protein_coding","286",1.42108183333134,0.735783042230295,5.20187049251902,1.17585262782653e-06,1.31830428224682e-05,5.14622412739038
"HSBP1L1","ENSG00000226742","HSBP1L1","ENSG00000226742.3",2056,"protein_coding","440498",0.771392595875858,3.73467208437713,5.20122181838184,1.17903224870489e-06,1.32078649449513e-05,4.82190243175888
"CBFA2T2","ENSG00000078699","CBFA2T2","ENSG00000078699.20",9457,"protein_coding","9139",-0.679172278318253,5.52635881316162,-5.20030244192745,1.18355317983056e-06,1.32476598966631e-05,4.65119996352728
"DIS3","ENSG00000083520","DIS3","ENSG00000083520.13",10835,"protein_coding","22894",-0.589139524078965,5.90874180954081,-5.19966218264696,1.18671158871032e-06,1.32721513576286e-05,4.6293829904944
"PRLR","ENSG00000113494","PRLR","ENSG00000113494.15",13108,"protein_coding","5618",-1.6045730544664,3.70814079250117,-5.19945636410094,1.18772864364037e-06,1.32726735193733e-05,4.85513687898413
"TRAPPC5","ENSG00000181029","TRAPPC5","ENSG00000181029.8",5669,"protein_coding","126003",1.67678589481555,0.6450112764302,5.19860605169877,1.19193951233708e-06,1.33050654409687e-05,5.13980637470039
"TRIM22","ENSG00000132274","TRIM22","ENSG00000132274.14",6020,"protein_coding","10346",1.24320079046112,4.76586187296049,5.19830451933488,1.19343624598133e-06,1.33050654409687e-05,4.68541088690686
"EIF3A","ENSG00000107581","EIF3A","ENSG00000107581.11",7101,"protein_coding","8661",-0.546377521387624,8.2247358755788,-5.19828252424866,1.19354549613018e-06,1.33050654409687e-05,4.59387188443807
"NUDT18","ENSG00000275074","NUDT18","ENSG00000275074.1",1756,"protein_coding","79873",0.779904616482342,3.16355327347319,5.19700126160093,1.19992645977221e-06,1.33653046553455e-05,4.88457091628134
"SAA2","ENSG00000134339","SAA2","ENSG00000134339.7",2227,"protein_coding","6289",2.5639889287678,0.152724722987116,5.19454468434432,1.21225413726549e-06,1.34916290394772e-05,5.15322653581859
"GPR137","ENSG00000173264","GPR137","ENSG00000173264.12",4031,"protein_coding","56834",0.672345626582428,4.64791929825325,5.19348957393689,1.21758685281166e-06,1.35291149812892e-05,4.67668783208208
"DARS","ENSG00000115866","DARS","ENSG00000115866.9",4014,"protein_coding","1615",-0.588797962454168,6.6646151136429,-5.19348686652249,1.21760056601601e-06,1.35291149812892e-05,4.58109835110763
"STT3B","ENSG00000163527","STT3B","ENSG00000163527.8",5012,"protein_coding","201595",-0.675060328485015,7.99296044308751,-5.18698136803857,1.25099103783835e-06,1.38815060119344e-05,4.54769323186072
"TTC17","ENSG00000052841","TTC17","ENSG00000052841.13",11284,"protein_coding","55761",-0.499573079602912,6.15291332026554,-5.18688904113875,1.25147130228898e-06,1.38815060119344e-05,4.56622911696357
"ZFHX3","ENSG00000140836","ZFHX3","ENSG00000140836.13",17503,"protein_coding","463",-0.723735281183334,4.55935559568496,-5.18671831091652,1.25235987854416e-06,1.38815060119344e-05,4.67859796779525
"RPS19BP1","ENSG00000187051","RPS19BP1","ENSG00000187051.7",3763,"protein_coding","91582",0.459215732203934,6.02938690229539,5.18597784872558,1.25622080284185e-06,1.39130268350371e-05,4.55473594249391
"SYNGR3","ENSG00000127561","SYNGR3","ENSG00000127561.13",3420,"protein_coding","9143",1.58936582639102,1.55706034131563,5.18514296028378,1.26058803961865e-06,1.3950099681152e-05,5.01801876555878
"ZBTB37","ENSG00000185278","ZBTB37","ENSG00000185278.13",19464,"protein_coding","84614",-0.769294916638774,2.74841242571619,-5.18491452701038,1.26178553959039e-06,1.39520635493268e-05,4.89953378665903
"RTN4RL2","ENSG00000186907","RTN4RL2","ENSG00000186907.6",2387,"protein_coding","349667",1.45828914007125,0.368515700759814,5.18356711975457,1.26887161269756e-06,1.40190839406116e-05,5.09566917195804
"TINAG","ENSG00000137251","TINAG","ENSG00000137251.14",2155,"protein_coding","27283",-2.26685473170907,1.31453827110558,-5.18287150500913,1.27254508832854e-06,1.40483226135253e-05,5.040365948158
"RHOF","ENSG00000139725","RHOF","ENSG00000139725.6",6181,"protein_coding","54509",1.31149602401017,2.51513715807329,5.18164437552847,1.27905080021776e-06,1.41087555204665e-05,4.90690175163608
"HSP90AB1","ENSG00000096384","HSP90AB1","ENSG00000096384.18",2980,"protein_coding","3326",-0.553126708512382,10.6797883519452,-5.18120357371749,1.28139566773088e-06,1.41232312193578e-05,4.54341133020811
"UTP25","ENSG00000117597","UTP25","ENSG00000117597.16",10376,"protein_coding","27042",-0.408994187882744,5.11153118234976,-5.18058884003349,1.28467279096039e-06,1.41479504305605e-05,4.59563710568815
"USP54","ENSG00000166348","USP54","ENSG00000166348.16",9498,"protein_coding","159195",-0.740485403437783,5.80563889844693,-5.17946046518045,1.29070944622672e-06,1.42029958209888e-05,4.55477005311164
"PGRMC1","ENSG00000101856","PGRMC1","ENSG00000101856.9",1919,"protein_coding","10857",-0.574992332033982,7.40992662559834,-5.17874225223715,1.29456621874811e-06,1.42339845177143e-05,4.51370176462791
"STX3","ENSG00000166900","STX3","ENSG00000166900.13",4449,"protein_coding","6809",-0.655596243850368,6.2449638087263,-5.17547796705659,1.31223767950031e-06,1.44166963696428e-05,4.51950975478865
"MRPS34","ENSG00000074071","MRPS34","ENSG00000074071.12",1097,"protein_coding","65993",0.660562470987231,6.77398362490308,5.17454147177876,1.31735083897484e-06,1.44612558390834e-05,4.4927744589996
"HMG20B","ENSG00000064961","HMG20B","ENSG00000064961.17",3857,"protein_coding","10362",0.525545774633779,6.27832634110178,5.1732383929614,1.32449791020288e-06,1.45280532604291e-05,4.49593880854779
"GSK3B","ENSG00000082701","GSK3B","ENSG00000082701.13",8006,"protein_coding","2932",-0.383951751829871,6.09035303835834,-5.17213275084554,1.33059179283137e-06,1.45832007550861e-05,4.5071030085189
"ANKIB1","ENSG00000001629","ANKIB1","ENSG00000001629.8",7130,"protein_coding","54467",-0.547303687688057,5.67332744840699,-5.17167683477474,1.33311260099979e-06,1.45991306296838e-05,4.52686197955687
"GPR65","ENSG00000140030","GPR65","ENSG00000140030.5",4522,"protein_coding","8477",1.11851491479885,1.22197632309058,5.16904162849737,1.34777463759752e-06,1.47478891944471e-05,4.98112181261782
"CCDC71","ENSG00000177352","CCDC71","ENSG00000177352.9",1781,"protein_coding","64925",0.616649794666743,4.47530434764993,5.16777975493407,1.35485126123631e-06,1.48134736620225e-05,4.59193860324845
"GATAD1","ENSG00000157259","GATAD1","ENSG00000157259.6",4791,"protein_coding","57798",-0.495357186013039,5.58759926250398,-5.16678245378505,1.36046983015264e-06,1.48630242306931e-05,4.50967447573337
"MAPKAPK3","ENSG00000114738","MAPKAPK3","ENSG00000114738.9",3921,"protein_coding","7867",0.471198649578309,6.20592075116673,5.16573853534469,1.3663754185186e-06,1.49156288703091e-05,4.46781860645514
"MYOM3","ENSG00000142661","MYOM3","ENSG00000142661.17",9254,"protein_coding","127294",-2.02380970897661,3.30013906645594,-5.16528586336926,1.36894402454375e-06,1.49317514894015e-05,4.77325276010083
"ZNF275","ENSG00000063587","ZNF275","ENSG00000063587.13",8139,"protein_coding",NA,-0.537156013161462,4.72980080582989,-5.1625825778541,1.38438184200907e-06,1.50881074382471e-05,4.55937565722145
"LMO4","ENSG00000143013","LMO4","ENSG00000143013.11",5833,"protein_coding","8543",0.937767055054497,5.22199593553,5.1611858065439,1.39242499119244e-06,1.51636855330654e-05,4.49491338302647
"FCGR3B","ENSG00000162747","FCGR3B","ENSG00000162747.8",3073,"protein_coding","2215",1.96652387433319,1.07187607775075,5.15939368247849,1.40281163393988e-06,1.52646440167301e-05,4.95501111999367
"VAMP7","ENSG00000124333","VAMP7","ENSG00000124333.13",2667,"protein_coding","6845",-0.561352892840965,5.41634444790377,-5.15751705882341,1.41376914634426e-06,1.5371648953654e-05,4.48503617034279
"SPRED2","ENSG00000198369","SPRED2","ENSG00000198369.8",5154,"protein_coding","200734",-0.44581509747409,5.62021940422422,-5.15639891436572,1.42033764647641e-06,1.54308008963498e-05,4.46551356999978
"TMEM117","ENSG00000139173","TMEM117","ENSG00000139173.8",3440,"protein_coding","84216",-0.677927647819348,3.02583230933511,-5.15502934398968,1.42842377574624e-06,1.55063336544898e-05,4.74386519792181
"DST","ENSG00000151914","DST","ENSG00000151914.16",41429,"protein_coding","667",-0.991509619259913,6.41066502658702,-5.15096301558198,1.45269784865532e-06,1.57573363789909e-05,4.42195828399704
"TAF4","ENSG00000130699","TAF4","ENSG00000130699.15",9808,"protein_coding","6874",-0.68494340090045,5.17210579407012,-5.14950320853744,1.46151014412405e-06,1.58403611341749e-05,4.47000353263791
"IGLL5","ENSG00000254709","IGLL5","ENSG00000254709.5",2472,"protein_coding","100423062",2.31603746845318,4.21879942103535,5.14723221253842,1.47532318983433e-06,1.59774113939462e-05,4.56914554708656
"HERC4","ENSG00000148634","HERC4","ENSG00000148634.14",15847,"protein_coding","26091",-0.540092342671743,5.16537632182988,-5.14688498352123,1.47744637625683e-06,1.59844995978614e-05,4.46155015371942
"CNST","ENSG00000162852","CNST","ENSG00000162852.12",5922,"protein_coding","163882",-0.409640093463272,4.46131190020033,-5.14674307492253,1.47831495769079e-06,1.59844995978614e-05,4.52190169315672
"PEF1","ENSG00000162517","PEF1","ENSG00000162517.11",2227,"protein_coding","553115",0.423062847020474,6.14478787020729,5.14484897396391,1.48995607431774e-06,1.60976454854013e-05,4.38571289527033
"ICE1","ENSG00000164151","ICE1","ENSG00000164151.10",8678,"protein_coding","23379",-0.470705533698608,5.54565379605892,-5.14455667762995,1.49176048101886e-06,1.6104419778513e-05,4.42322940865065
"NPC2","ENSG00000119655","NPC2","ENSG00000119655.7",2749,"protein_coding","10577",0.582690598626469,7.01858782464324,5.14339045054221,1.49898111967357e-06,1.61696086395072e-05,4.36616373677339
"RUBCNL","ENSG00000102445","RUBCNL","ENSG00000102445.17",6105,"protein_coding","80183",-1.9712323151527,5.1389232187625,-5.14263295365002,1.50368940329608e-06,1.62013076832577e-05,4.47811263990797
"MIAT","ENSG00000225783","MIAT","ENSG00000225783.5",11505,"lincRNA","440823",1.53662829571971,2.19009625947474,5.14233036543623,1.50557420023924e-06,1.62013076832577e-05,4.78607205539967
"ZBTB10","ENSG00000205189","ZBTB10","ENSG00000205189.10",10216,"protein_coding","65986",-1.24625054783693,4.0472259543941,-5.14223685416995,1.50615714084202e-06,1.62013076832577e-05,4.57426160331551
"TXNDC9","ENSG00000115514","TXNDC9","ENSG00000115514.10",2816,"protein_coding","10190",-0.812122811551169,4.4127501074495,-5.14215659375934,1.50665765266148e-06,1.62013076832577e-05,4.52257019019011
"TMEM134","ENSG00000172663","TMEM134","ENSG00000172663.7",5892,"protein_coding","80194",0.594367689225566,4.97575377399859,5.14185666235086,1.50852949291582e-06,1.62086931689729e-05,4.43723778421739
"ZNF443","ENSG00000180855","ZNF443","ENSG00000180855.14",2753,"protein_coding","10224",-0.789708621081654,2.32498667961785,-5.14071156942628,1.51569681217335e-06,1.62729207197073e-05,4.77137042038924
"GRIN2B","ENSG00000273079","GRIN2B","ENSG00000273079.3",30672,"protein_coding","2904",-1.79239364828321,1.73080638038116,-5.14025028400805,1.51859346084402e-06,1.62912324371957e-05,4.83370354363053
"TUBB4B","ENSG00000188229","TUBB4B","ENSG00000188229.5",2111,"protein_coding","10383",0.554125019656244,9.27595450867589,5.1395705045929,1.52287200437645e-06,1.63145438852254e-05,4.36333459841987
"HS3ST1","ENSG00000002587","HS3ST1","ENSG00000002587.8",8166,"protein_coding","9957",0.939117995015119,4.06543908732376,5.13952608962901,1.52315196237994e-06,1.63145438852254e-05,4.53065327949515
"BTN3A3","ENSG00000111801","BTN3A3","ENSG00000111801.14",5658,"protein_coding","10384",0.939800571055355,4.42787874015752,5.13818475865596,1.53163041316919e-06,1.63909127964176e-05,4.47897849685798
"SPIN3","ENSG00000204271","SPIN3","ENSG00000204271.9",2222,"protein_coding","169981",-1.83591164483304,1.00882540204312,-5.13786965318233,1.53362884790713e-06,1.63909127964176e-05,4.88154353868037
"TXLNG","ENSG00000086712","TXLNG","ENSG00000086712.11",4460,"protein_coding","55787",-0.716971266454552,5.21621075625661,-5.13766627499987,1.53492004770087e-06,1.63909127964176e-05,4.42285679552412
"ZNF146","ENSG00000167635","ZNF146","ENSG00000167635.10",4146,"protein_coding","7705",-0.630387768642525,6.40900888322808,-5.13764183991951,1.5350752516604e-06,1.63909127964176e-05,4.3629411442238
"ALOX5AP","ENSG00000132965","ALOX5AP","ENSG00000132965.8",1715,"protein_coding","241",1.10464485452988,3.69010857367288,5.13726108716707,1.53749565499997e-06,1.64039513019419e-05,4.57342164807772
"SKAP2","ENSG00000005020","SKAP2","ENSG00000005020.11",5520,"protein_coding","8935",-0.668038350949097,5.39792537015092,-5.13346988966134,1.56180013745407e-06,1.66502745752898e-05,4.39281251305606
"PRELID3B","ENSG00000101166","PRELID3B","ENSG00000101166.14",2977,"protein_coding","51012",-0.760895877186946,7.37735455109009,-5.13216602614874,1.57024531164467e-06,1.67272705394671e-05,4.32753256304544
"AKR7A2","ENSG00000053371","AKR7A2","ENSG00000053371.11",1781,"protein_coding","8574",0.657193061714743,5.71685238770723,5.13129840717228,1.57588961082899e-06,1.67743331493532e-05,4.34556865723367
"SON","ENSG00000159140","SON","ENSG00000159140.16",13172,"protein_coding","6651",-0.568866280514905,7.6145221874936,-5.13088085923459,1.57861302927629e-06,1.67902558432668e-05,4.32066824168281
